자치구별(2),2019,2020,2021,2022
종로구,24671,25983,27308,28424
중구,22078,22818,24544,25247
용산구,35148,36881,39270,41437
성동구,41488,42585,44946,46548
광진구,58714,62301,66140,69391
동대문구,58152,60925,65290,68169
중랑구,52196,56605,60487,64334
성북구,57832,61510,64985,67222
강북구,42791,45685,48428,51134
도봉구,32653,34884,37853,39744
노원구,53365,56438,60647,63022
은평구,52814,57853,62447,65769
서대문구,46449,49863,52792,54288
마포구,59248,63172,67162,70030
양천구,36345,39436,42973,45502
강서구,79371,86172,94436,100695
구로구,47740,50971,54980,58977
금천구,37778,42334,46827,50528
영등포구,58214,64000,69806,73962
동작구,60088,64101,68231,71782
관악구,119863,129233,136255,145433
서초구,42667,43942,45933,46745
강남구,66073,68999,71986,73579
송파구,68861,73694,79262,82473
강동구,45188,50316,56905,59752
