행정구역(시군구)별(2),2019,2020,2021,2022
강남구,14926829,15754700,17477665,19016800
강동구,7447177,7865918,8488374,9086076
강북구,3075447,3109922,3274497,3525334
강서구,9178851,9287969,9964209,10852074
관악구,6865539,6961669,7550177,8325657
광진구,5495292,5629534,6121949,6628748
구로구,5972692,6079037,6504808,7137032
금천구,2973640,3103521,3388533,3678719
노원구,7206570,7363982,7784253,8272121
도봉구,3797517,3824449,4009934,4255642
동대문구,4357428,4500363,4913041,5446883
동작구,6661784,6853020,7403320,8005191
마포구,7296518,7581482,8245601,8971130
서대문구,4982198,5132923,5565047,6101603
서초구,12021965,12489338,13638923,14571274
성동구,5431210,5643902,6207800,6632723
성북구,6132023,6381557,6852822,7337946
송파구,14203992,14594561,16095685,17238998
양천구,8042926,8272740,8806702,9401931
영등포구,7398345,7824542,8559698,9373068
용산구,5822661,6122572,6747813,7477568
은평구,6343267,6510425,7030234,7537116
종로구,2566206,2628977,2840850,3062229
중구,2184474,2293687,2447593,2768891
중랑구,4416068,4560624,4939270,5318866
